#,Артикул,Назва,Категорія,Ціна,Залишок,Продано,Виручка
22,2107,"Підставка під вудочку бур 1,2 нержавійка",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,110,10,460,45110
23,3063,"Технопанктон CORONA флуоро""Чудо планктон""Очерет",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,155,912,43342
24,1858.41.87,"Вудилище Brain Apex карпове 3,90 3,5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1650,1,26,40860
25,606,"Тісто Cukk""puffi""midi 6-10мм 30гр Часник",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,100,522,38550
26,00.10,Глютен Herabunafishing,Херабуна / Тісто,70,56,648,38520
27,2688,Жерлиця Профмонтаж  оснащена,Зима / Зимові вудки,75,86,540,36320
28,2110123,"Крісло ""Режисер з полицею "" d25mm",Допоміжні снасті / Стільці,2340,3,20,36130
29,276,Катушка WEIDA BJ6000A,Катушки  / Карпові катушки / Weida,990,5,38,35150
30,3753,Монтаж  на вудочку з поплавком на 2 гачка,Оснащення Монтаж / Готові монтажі,40,40,860,31940
31,GL17-30,Грушка латунь,Спінінгова ловля  / Тел-спіннер,50,105,738,31726
32,PRF-CHASNYKM,Прикормка Fanatik Макуха Часник,Fanatik / Прикормка,58,34,669,31560
33,3043,Макуха ПрофМонтаж 8 куб. асорт,AnviFishing / Макуха,50,49,762,30668
34,2010043,"Стілець"" Рибак Економ "" d25 мм",Допоміжні снасті / Стільці,615,1,61,30500
35,K-3046,Катушка FEIMA MD 4000,Катушки  / Карпові катушки / Feima,725,7,42,30390
36,1536,Ліхтарик налобний Strong Light сенсорний USB зарядка,Туризм і відпочинок / Ліхтарі,540,6,70,30320
37,3051,Спінінг APACHE NAVIGATOR 3.6  120-180g new,Спінінги і вудки / Коропові вудочки,740,3,44,30010
38,2893,Катушка  Weida DJ10A 3+1,Катушки  / Карпові катушки / Weida,600,4,56,29620
39,67,Прикорм Крилевая мука 100г Antarctic Kril Meal 1ящ=70шт,INTERKRIL / Прикормка,78,10,470,29044
40,2785,"Садок з ручками на застібці прогум. сітка  1,500см",Допоміжні снасті / Садки ,500,4,62,29000
41,3189,"Крісло ECLIPSE EC-20G складне,з підстакан.",Допоміжні снасті / Стільці,720,1,40,28740
42,275,Катушка WEIDA BJ5000A,Катушки  / Карпові катушки / Weida,940,5,32,28630
43,603,"Тісто Cukk""puffi""midi 6-10мм 30гр Мед",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,114,374,27760
44,3342,Катушка BOYA BY TB 6000,Катушки  / Карпові катушки / Boya By,1015,3,28,27550
45,272,Катушка Cobra СВ 2b(240),Катушки  / Карпові катушки,225,3,120,27000
46,000149,Стул Херабуна Perfect Koi  (Herabunafishing),Херабуна / Підсаки,4500,2,6,27000
47,3739,"Крісло Eclipse Comfort XL 1010 складне короп.підлок регулювання нахилу,4 ноги регул.",Допоміжні снасті / Стільці,3650,1,8,26500
48,3042,Катушка  Weida DJ60A 3+1,Катушки  / Карпові катушки / Weida,700,6,40,26000
49,3139,Катушка  Weida DJ50A 3+1,Катушки  / Карпові катушки / Weida,690,5,40,25840
50,1209,Прикормка Fanatik AMNESIA Часник-Горох Короп Карась,Fanatik / Прикормка,185,4,180,24940
51,2788,"Вудочка Джокер Marline Prinsses 5,4м",Спінінги і вудки / Вудилища махові,260,9,100,24600
52,258,Пастка садок 8-ть,Туризм і відпочинок / Сушарки для риб і Раколовки,220,16,122,24380
53,937,Дзвіночок,Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,4,441,5798,24122
54,2173,Свінгер з підключенням на штазі з вантажем,Допоміжні снасті / Сигналізатори і Свінгера,130,20,218,23830
55,87,Волосінь Carp Expert Muiticolor 0.35mm 150m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,125,24,218,23620
56,2106,"Підставка під вудочку 0,100м алюм телескоп",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,50,44,482,23160
57,86,Волосінь Carp Expert Muiticolor 0.30mm 150m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,110,48,236,22980
58,PT-CHESNOK-M,"Пінотісто Fanatik Puffi міні Часник,50мл",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,40,27,1018,22954
59,3991,Монтаж Арбуз 2г 20гр на 1 відвід пластик,Оснащення Монтаж / Готові монтажі,50,11,486,22860
60,2093,Набір Сигналізаторів SF23657,Допоміжні снасті / Сигналізатори і Свінгера,3260,1,8,22600
61,66,Прикорм Крилевая мука 500г Antarctic Kril Meal,INTERKRIL / Прикормка,285,7,110,22430
62,SF23817,Парасолька Sams Fish,"Туризм і відпочинок / Намети ,тени ,парасольки",1590,1,16,22420
63,2086,Світлячок OKEAN SUN d4.5*37 5шт,Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,12,137,1827,21368
64,00.01,Тісто Часник Herabunafishing,Херабуна / Тісто,60,46,386,21200
65,2981,"Технопанктон CORONA флуоро""Чудо планктон"" Дафнія",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,17,444,20878
66,1693.71.04,Катушка Select Master 2500s 4+1bb 5.5:1,Катушки  / Спінінгові,755,1,30,20760
67,1693.71.00,Катушка Select Master 1500S 4+1bb 5.5:1,Катушки  / Спінінгові,680,1,34,20580
68,2116,Катушка MIFINE WHALE 4000F 60320-4,Катушки  / Карпові катушки,650,2,32,20560
69,2894,Катушка  Weida DJ20A 3+1,Катушки  / Карпові катушки / Weida,620,3,36,20240
70,3209,"Удилище WEIDA CARP Expert 3.75ib3,90м",Спінінги і вудки / Коропові вудочки,1200,4,16,19880
71,2112,Поплавець EXPERT асортимент,Оснащення Монтаж / Поплавки,30,115,670,19790
72,1208,Прикормка Fanatik AMNESIA Тигровий Горіх- Арахіс Короп Амур,Fanatik / Прикормка,185,7,146,19750
73,2167,Катушка FEIMA MG 5000,Катушки  / Карпові катушки / Feima,780,1,26,19740
74,2135,Прикормка  RealFish Лящ Шоколад1 кг,RealFish  / Прикормка,110,48,244,19350
75,GK 16-30,Грушка кольорова флуоресентна,Спінінгова ловля  / Тел-спіннер,50,74,452,18780
76,3519,"Жерлиця Щука,котушка з стопором ,оснащена (зелена)",Зима / Зимові вудки,75,63,274,18570
77,2088,Підставка під вудочку  Іван.Франківськ,Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,60,22,472,18292
78,1316,Сигналізатор під світлячок,Допоміжні снасті / Сигналізатори і Свінгера,13,1,1588,18168
79,4625,Фідер Weida Focus (m1515) 60-180 3.60m,Спінінги і вудки / Фіерні вудочки,1310,1,14,18160
80,1485,Монтаж №10  вбивця карася,Оснащення Монтаж / Готові монтажі,45,46,496,18110
81,000038,Підставка для вудилищ Siechi LUX 2.4м (Herabunafishing),Херабуна / Підсаки,450,13,40,18000
82,1102,Спінінг APACHE NAVIGATOR 3.0  80-120g new,Спінінги і вудки / Коропові вудочки,645,3,30,17970
83,1285,Сушка для риб 45*45 3 полиці,Туризм і відпочинок / Сушарки для риб і Раколовки,285,9,62,17950
84,1996,Намет,"Туризм і відпочинок / Намети ,тени ,парасольки",3400,1,8,17400
85,2010067,"Крісло ""Режисер з мякою полицею "" d25mm",Допоміжні снасті / Стільці,1960,1,10,17360
86,3022734,Садок Carp Line Black 3.0m ж. кіл. прогум.ж.с різьба регулювання під кілок,Допоміжні снасті / Садки ,1070,1,18,17280
87,3164,Сигналізатор Shark,Допоміжні снасті / Сигналізатори і Свінгера,250,3,68,17000
88,2049,Пружина Арбуз  3г,Оснащення Монтаж / Готові монтажі,35,25,484,16940
89,016900,"Світлячок 4,5*38мм SMS",Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,6,146,2960,16924
90,1180,Спінінг LEGEND CARP 360 з 3 частин,Спінінги і вудки / Спінінг,950,1,18,16900
91,PT-MED-M,"Пінотісто Fanatik Puffi міні Мед,50мл",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,40,25,746,16892
92,2294,Вбивця Карася,Оснащення Монтаж / Готові монтажі,35,89,482,16870
93,122700,Сумка Combo для коропової та фідерної ловлі на 2 відсіки  ПрофМонтаж,Допоміжні снасті / Сумки,2760,1,6,16560
94,2010001,"Стілець"" Рибак  Економ"" d16 мм",Допоміжні снасті / Стільці,360,4,56,16540
95,000863,"Комплект відгружених оснасток Perfect Koi з поплавками Tz-08 розмір 6,3м",Херабуна / Оснащення,550,2,30,16500
96,4710,"Вудочка  ""Осінній лист"" 5,4м",Спінінги і вудки / Вудилища махові,960,4,18,16480
97,2255,Прикормка Тигровий горіх Robin 1 кг,Прикормка / Прикормка,240,1,80,16440
98,2114,Котушка HAIBAO FISHING J3-40FR (9+1 BB) з бейтранером,Катушки  / Спінінгові,900,1,20,16380
99,2302,Монтаж Orange№26 №MF 2671(гелікоптер  під бойл 71гр.1га),Оснащення Монтаж / Orange,78,46,218,16238
100,4282,Шнур Sapfir X4 Drew 150m,Волосінь Шнури Повіці / Шнур,120,44,135,16200
101,HH-270170-GJ,"Підсак Breeze HH-270170-GJ 70см трикут. прогум. сітка ,телескоп. посил.замок",Допоміжні снасті / Підсаки,910,2,18,15860
102,308,"Фідер KAIDA IMPULSE-II(м636)60-160 3,0",Спінінги і вудки / Фіерні вудочки,715,2,24,15760
103,2050,Монтаж №7\1 Вбивця Карася 3 пружини + 3 гач відвід,Оснащення Монтаж / Готові монтажі,50,5,432,15750
104,2090,Шнур MAX POWER 4X BOYA BY 150м асортимент,Волосінь Шнури Повіці / Шнур,125,17,126,15750
105,2911,Волосінь CARP EXPERT UV FLUO YELLOW 0.28mm 1000m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,420,1,40,15670
106,2434,Монтаж Orange №5MF 550(пружина лідкор 50гр.2гач№5),Оснащення Монтаж / Orange,68,49,232,15566
107,1488,Монтаж №7 Вбивця Карася 2 пружини + 2 гач  отводи,Оснащення Монтаж / Готові монтажі,45,6,416,14960
108,3053,Поплавок #18,Оснащення Монтаж / Поплавки,18,38,824,14832
109,2615,Мормишка #25,Зима / Мармишка,25,1004,592,14800
110,3538,Катушка FEIMA LM 7000,Катушки  / Карпові катушки / Feima,1300,1,12,14760
111,3661,Лижа флуоресцентна асорт 10-30гр,Спінінгова ловля  / Тел-спіннер,75,47,196,14700
112,2776,Катушка FEIMA LK 500,Катушки  / Карпові катушки / Feima,420,2,38,14560
113,2224,"Спінінг Carp Junior 100-300g 3,6м Feima",Спінінги і вудки / Коропові вудочки,660,5,16,14480
114,MF 4150,Монтаж Orange№41 №MF 4150(метод Флет під бойл 50гр.1гач№41),Оснащення Монтаж / Orange,70,29,204,14236
115,4254,Монтаж на толстолоба Silver carp Мерседес,Оснащення Монтаж / Готові монтажі,225,8,70,14050
116,410,Свінгер штанга з підключенням,Допоміжні снасті / Сигналізатори і Свінгера,95,1,154,14050
117,2096-360,Фідер IDOL AFEIMA 40-120G ART2096-360,Спінінги і вудки / Фіерні вудочки,1400,3,10,14000
118,2110043,"Стілець"" Рибак  Економ зі спинкою"" d16 мм",Допоміжні снасті / Стільці,485,3,34,13990
119,1858.41.88,"Вудилище Brain Apex карпове 3,90 4,0 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1780,3,8,13920
120,2080,Катушка FEIMA LE 3000,Катушки  / Карпові катушки / Feima,520,1,26,13880
121,2983,Волосінь CARP EXPERT UV FLUO ORANG 0.35mm 300м,Волосінь Шнури Повіці / Ліска / CARP EXPERT,220,9,66,13800
122,HY-D-370170-GJ,"Підсак Breeze 70см прогум. сітка круп ,телескоп 1,7м пятикут.",Допоміжні снасті / Підсаки,950,1,15,13790
123,2205,Пелетс Art Fishing методний 3мм  500гр,Прикормка / Пеллетси,40,38,369,13616
124,3670,Балансир Accurat#2,Зима / Балансир,85,28,158,13430
125,MF 440,Монтаж Orange№4 №MF 440(пружина пі бойл 40гр.2гач№4),Оснащення Монтаж / Orange,70,24,206,13406
126,1858.44.53,"Вудилище Brain Classic Carp 3,60 3.5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1500,1,10,13240
127,2045,Монтаж Арбуз чорний відвід+3 гач,Оснащення Монтаж / Готові монтажі,35,13,388,13230
128,307,"Фідер KAIDA IMPULSE-II(м636)60-160 2,7",Спінінги і вудки / Фіерні вудочки,645,4,22,13150
129,2172,ELIT вбивця карася,Оснащення Монтаж / Готові монтажі,25,12,526,13150
130,3213,Монтаж на толстолоба Silver carp +технопанктон,Оснащення Монтаж / Готові монтажі,190,3,74,13040
131,8203-390,Вудочка  FEIMA Obsidian Carp 3.9m 3.5lb,Спінінги і вудки / Коропові вудочки,1300,1,10,13000
132,05.65,Оснастка фірмова Premium 5.4 #2.5,Херабуна / Оснащення,100,9,130,13000
133,1416,Шнур MASTER PE*4 150M SELECT BOYA BY,Волосінь Шнури Повіці / Шнур,100,13,129,12900
134,3099,Монтаж на Сома 1гач,Оснащення Монтаж / Готові монтажі,260,13,54,12900
135,279,Катушка WEIDA XC4000 бейтр,Катушки  / Карпові катушки / Weida,735,5,18,12830
136,89,Волосінь CARP EXPERT BOILIE SPECIAL 0.30mm 1000m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,445,2,30,12660
137,1850,Катушка  Ryobi Amazon 2000Vi,Катушки  / Спінінгові,1700,2,8,12600
138,2433,Монтаж Orange №5MF 540(пружина лідкор 40гр.2гач№5),Оснащення Монтаж / Orange,68,28,194,12514
139,MF3000,Катушка Flagman Magnum Feeder 3000 (шт.),Катушки  / Фідерні катушки,450,3,32,12480
140,4176,Крона Videx 9v,Аксесуари  / Батарейки,33,171,378,12474
141,MF 36,Монтаж Orange№36 №MF 36( Толстолоб на лідкоре.2гач№36),Оснащення Монтаж / Orange,100,3,132,12440
142,3022735,Садок Carp Line Black 3.5m ж. кіл. прогум.ж.с різьба регулювання під кілок,Допоміжні снасті / Садки ,1180,2,12,12420
143,MF 460,Монтаж Orange№4 №MF 460(пружина пі бойл 60гр.2гач№4),Оснащення Монтаж / Orange,73,22,172,12260
144,3024-30,Волосінь Magigian 3D Afeima  150m 0.30mm,Волосінь Шнури Повіці / Ліска / Ліска 3D,90,7,142,12200
145,MF 4140,Монтаж Orange№41 №MF 4140(метод Флет під бойл 40гр.1гач№41),Оснащення Монтаж / Orange,68,14,180,12120
146,3997,"Стіл ""Пікні"" 4 стілці посилений розкладний",Допоміжні снасті / Стільці,2050,1,6,11900
147,2100,Вудка Джокер Tiger  3.60,Спінінги і вудки / Вудилища махові,140,3,86,11780
148,2105,Воблер Вуж (м),Спінінгова ловля  / Воблер,115,13,102,11730
149,949,Джиг-головка MUSTAD   асортимент,Оснащення Монтаж / Головки,8,263,1428,11726
150,000644,Гачки самопідсікаючи Heranunafishing на поводці 10 шт. Розмір: 7,Херабуна / Гачки,160,17,72,11680
151,1098,Спінінг APACHE NAVIGATOR 3.9 80-120G GLADIATOR,Спінінги і вудки / Коропові вудочки,730,4,18,11660
152,95,Волосінь CARP EXPERT UV FLUO YELLOW 0.30mm 1000m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,445,4,28,11640
153,397,"Монтаж №16 ""Арбуз"" Карась 30г 4кр",Оснащення Монтаж / Готові монтажі,50,8,252,11640
154,2336,Шнур на метр,Волосінь Шнури Повіці / Шнур,4,545,2910,11640
155,4251,Парасолька Sams Fish намет,"Туризм і відпочинок / Намети ,тени ,парасольки",2940,2,4,11540
156,2712,"Блешня MEPPS  BLACK FURY 3 чорна пелюстка салат.кап 6,5г",Спінінгова ловля  / Mepps,148,5,82,11380
157,394,Готовий монтаж на толстолоб Харків,Оснащення Монтаж / Готові монтажі,45,53,246,11334
158,PRFKARAS-MRH,Прикормка Fanatik Макуха Карась,Fanatik / Прикормка,58,23,240,11294
159,3022736,"Садок Carp Line Black 2,5m ж. кіл. прогум.ж.с різьба регулювання під кілок",Допоміжні снасті / Садки ,1010,2,12,11240
160,608,"Тісто Cukk""puffi""midi 3-6мм 30гр Полуниця",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,9,152,11230
161,3341,Катушка BOYA BY TB 5000,Катушки  / Карпові катушки / Boya By,940,1,12,11220
162,1652,Волосінь Carp Expert Muiticolor 0.25mm 150m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,97,11,129,11145
163,77,Крючок Hayabusa H.SDE 198 BN №7(10 шт),Оснащення Монтаж / Гачки,60,8,204,11042
164,2910,Волосінь CARP EXPERT UV FLUO ORANG  0.28мм 1000м,Волосінь Шнури Повіці / Ліска / CARP EXPERT,420,2,28,10950
165,319,Горох FSHING MIX Конопля 400г пет, FSHING MIX,35,13,326,10940
166,1359,Прес-форма пластикова з кнопкою під флет in-Line,Аксесуари ,32,26,363,10920
167,3349,"Садок відро прогум.сітка 0,75мм круглий 45см",Допоміжні снасті / Садки ,285,6,40,10920
168,1252,Вудилище теле OKUMA 3608 120-180G,Спінінги і вудки / Коропові вудочки,320,7,34,10910
169,BSA 14G,Блешня SPINNEX ATOM 14G асортимент,Спінінгова ловля  / Блесна,63,13,190,10904
170,1648,Кружок  Стубла,Оснащення Монтаж / Поплавки,30,49,362,10860
171,1345,Підсак ALUMINA 50 BOYA BY,Допоміжні снасті / Підсаки,250,2,46,10750
172,1315,Монтаж Orange№39 №MF 3985(Усиленная кліпса під бойл 85гр.1гач№39),Оснащення Монтаж / Orange,80,8,142,10744
173,3100,Монтаж на Сома 2гач,Оснащення Монтаж / Готові монтажі,280,19,42,10740
174,968,Воблер BOYA BY асортимент розпродаж,Спінінгова ловля  / Воблер,60,27,210,10720
175,30114830,Волосінь CARP EXPERT UV FLUO ORANG  0.30мм 1000м,Волосінь Шнури Повіці / Ліска / CARP EXPERT,450,7,26,10700
176,MF 450,Монтаж Orange№4 №MF 450(пружина пі бойл 50гр.2гач№4),Оснащення Монтаж / Orange,73,7,154,10648
177,000566,"Оснастка фірмова Premium 6,3 #3,0",Херабуна / Оснащення,100,10,106,10600
178,964,Ножиці Зажим,Аксесуари  / Ножиці ,125,28,84,10500
179,4595,"Пешня трьохгранна сталь 45 з держаком 1,30м",Зима / Льодобур,1750,2,6,10500
180,3738,Балансир Accurat Hybirid SG 18mm 4g,Зима / Балансир,102,16,102,10404
181,2684,"Вудочка ПВХ ""Харків""",Зима / Зимові вудки,24,1,426,10224
182,3155,Набір рогачів для підставки комлект 4шт,Допоміжні снасті / Підставки Рогачі Род-Поди / Аксесуари для підставок,145,8,70,10220
183,4213,Монтаж на толстолоба Silver carp 1 гач.,Оснащення Монтаж / Готові монтажі,180,19,63,10180
184,2737,Балансир №2 карапаль classic 4гр,Зима / Балансир,60,93,182,10168
185,1858.44.54,"Вудилище Brain Classic Carp 3,90 3.5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1650,1,7,10090
186,2113,Котушка HAIBAO FISHING J3-20FR (9+1 BB) з бейтранером,Катушки  / Карпові катушки,560,2,18,10080
187,2786,Пастка садок 6-ть,Туризм і відпочинок / Сушарки для риб і Раколовки,190,32,54,10060
188,ZJ-INP022А,"Волосінь JAXON INTENSA PREMIUM 0,22mm 150m",Волосінь Шнури Повіці / Ліска / JAXON ,160,2,67,10030
189,3317,"Набір свердло,шило металевий",Допоміжні снасті / Інструменти,55,18,184,9920
190,1007,Стопор без упаковки під бойл,Оснащення Монтаж / Все для монтажу оснащення,15,32,654,9810
191,4711,"Вудочка  ""Осінній бамбук"" 6,3м",Спінінги і вудки / Вудилища махові,980,1,10,9800
192,1128-300,Спінінг APACHE NAVIGATOR 3.0  80-120g ECLIPSE,Спінінги і вудки / Коропові вудочки,760,3,13,9720
193,607,"Тісто Cukk""puffi""midi 6-10мм 30гр Полуниця",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,16,132,9700
194,2208,Шнур X8  AFEIMA асортимент,Волосінь Шнури Повіці / Шнур,210,37,46,9660
195,318,Конопля Натуральна вар.  FSHING MIX 200гр, FSHING MIX,40,11,260,9610
196,256,Пастка садок 12-ть,Туризм і відпочинок / Сушарки для риб і Раколовки,240,1,40,9600
197,CS-360210-JW,"Підсак Breeze CS-360210-JW 60см трикут. прогум.чорна сітка ,телескоп.  ручrа",Допоміжні снасті / Підсаки,550,1,18,9580
198,10750,Макушатнік 40г ремінчик 10750,Оснащення Монтаж / Готові монтажі,50,8,224,9560
199,1038,Вудочка Джокер SHARK 540 10-30G,Спінінги і вудки / Вудилища махові,250,3,38,9500
200,3302,Поводок PREDATOR WOLFRAM LEADERS 25см,Волосінь Шнури Повіці / Повідці / Флюр- Вольфрам,12,605,790,9480
