Полиця/категорія,#,Артикул,Назва,Ціна,Залишок,"Виручка,грн"
Допоміжні снасті / Підставки Рогачі Род-Поди,1,267,Підставка під вудочку  алюм,48,11,48702
Допоміжні снасті / Підставки Рогачі Род-Поди,2,1991,"Підставка під вудочку 0,85м помаранчеві",36,14,45424
Допоміжні снасті / Підставки Рогачі Род-Поди,3,2107,"Підставка під вудочку бур 1,2 нержавійка",110,10,45110
Допоміжні снасті / Підставки Рогачі Род-Поди,4,2106,"Підставка під вудочку 0,100м алюм телескоп",50,44,23160
Допоміжні снасті / Підставки Рогачі Род-Поди,5,2088,Підставка під вудочку  Іван.Франківськ,60,22,18292
Допоміжні снасті / Підставки Рогачі Род-Поди,6,3155,Набір рогачів для підставки комлект 4шт,145,8,10220
Допоміжні снасті / Підставки Рогачі Род-Поди,7,1143,Підставка телескоп під сигналізатор,70,2,9080
Допоміжні снасті / Стільці,1,2110123,"Крісло ""Режисер з полицею "" d25mm",2340,3,36130
Допоміжні снасті / Стільці,2,2010043,"Стілець"" Рибак Економ "" d25 мм",615,1,30500
Допоміжні снасті / Стільці,3,3189,"Крісло ECLIPSE EC-20G складне,з підстакан.",720,1,28740
Допоміжні снасті / Стільці,4,3739,"Крісло Eclipse Comfort XL 1010 складне короп.підлок регулювання нахилу,4 ноги регул.",3650,1,26500
Допоміжні снасті / Стільці,5,2010067,"Крісло ""Режисер з мякою полицею "" d25mm",1960,1,17360
Допоміжні снасті / Стільці,6,2010001,"Стілець"" Рибак  Економ"" d16 мм",360,4,16540
Допоміжні снасті / Стільці,7,2110043,"Стілець"" Рибак  Економ зі спинкою"" d16 мм",485,3,13990
Допоміжні снасті / Стільці,8,3997,"Стіл ""Пікні"" 4 стілці посилений розкладний",2050,1,11900
Допоміжні снасті / Стільці,9,938,Стілець Харків без спинки 16mm,400,1,7860
Оснащення Монтаж / Orange,1,2302,Монтаж Orange№26 №MF 2671(гелікоптер  під бойл 71гр.1га),78,46,16238
Оснащення Монтаж / Orange,2,2434,Монтаж Orange №5MF 550(пружина лідкор 50гр.2гач№5),68,49,15566
Оснащення Монтаж / Orange,3,MF 4150,Монтаж Orange№41 №MF 4150(метод Флет під бойл 50гр.1гач№41),70,29,14236
Оснащення Монтаж / Orange,4,MF 440,Монтаж Orange№4 №MF 440(пружина пі бойл 40гр.2гач№4),70,24,13406
Оснащення Монтаж / Orange,5,2433,Монтаж Orange №5MF 540(пружина лідкор 40гр.2гач№5),68,28,12514
Оснащення Монтаж / Orange,6,MF 36,Монтаж Orange№36 №MF 36( Толстолоб на лідкоре.2гач№36),100,3,12440
Оснащення Монтаж / Orange,7,MF 460,Монтаж Orange№4 №MF 460(пружина пі бойл 60гр.2гач№4),73,22,12260
Оснащення Монтаж / Orange,8,MF 4140,Монтаж Orange№41 №MF 4140(метод Флет під бойл 40гр.1гач№41),68,14,12120
Оснащення Монтаж / Orange,9,1315,Монтаж Orange№39 №MF 3985(Усиленная кліпса під бойл 85гр.1гач№39),80,8,10744
Оснащення Монтаж / Orange,10,MF 450,Монтаж Orange№4 №MF 450(пружина пі бойл 50гр.2гач№4),73,7,10648
Оснащення Монтаж / Orange,11,MF 3971,Монтаж Orange№39 №MF 3971(Усиленная кліпса під бойл 71гр.1гач№39),78,31,9104
Оснащення Монтаж / Orange,12,2820,Монтаж Orange№26 №MF 2685(гелікоптер  під бойл 71гр.1га),80,16,7840
Оснащення Монтаж / Orange,13,MF 4750,Монтаж Orange№47 №MF 4750(пружина під бойл 50гр.1гач№47),63,9,6948
Оснащення Монтаж / Orange,14,MF 4250,Монтаж Orange№42 №MF 4250(метод Флет під бойл 40гр.2гач№42),83,9,6862
Херабуна / Тісто,1,00.10,Глютен Herabunafishing,70,56,38520
Херабуна / Тісто,2,06.73,Тісто Хробак Herabunafishing,70,31,23720
Херабуна / Тісто,3,00.01,Тісто Часник Herabunafishing,60,46,21200
Херабуна / Тісто,4,04.89,Тісто Koi food (Їда коропа) Herabunafishing,70,19,8200
Херабуна / Тісто,5,3873,Тісто Полуниця Herabunafishing,60,11,7260
Fanatik / Прикормка,1,PRF-CHASNYKM,Прикормка Fanatik Макуха Часник,58,34,31560
Fanatik / Прикормка,2,1209,Прикормка Fanatik AMNESIA Часник-Горох Короп Карась,185,4,24940
Fanatik / Прикормка,3,1208,Прикормка Fanatik AMNESIA Тигровий Горіх- Арахіс Короп Амур,185,7,19750
Fanatik / Прикормка,4,PRFKARAS-MRH,Прикормка Fanatik Макуха Карась,58,23,11294
