#,Артикул,Назва,Категорія,Ціна,Залишок,"Продано,шт","Виручка,грн"
48,603,"Тісто Cukk""puffi""midi 6-10мм 30гр Мед",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,80,114,374,27760
49,3342,Катушка BOYA BY TB 6000,Катушки  / Карпові катушки / Boya By,1015,3,28,27550
50,272,Катушка Cobra СВ 2b(240),Катушки  / Карпові катушки,225,3,120,27000
51,000149,Стул Херабуна Perfect Koi  (Herabunafishing),Херабуна / Підсаки,4500,2,6,27000
52,3739,"Крісло Eclipse Comfort XL 1010 складне короп.підлок регулювання нахилу,4 ноги регул.",Допоміжні снасті / Стільці,3650,1,8,26500
53,3042,Катушка  Weida DJ60A 3+1,Катушки  / Карпові катушки / Weida,700,6,40,26000
54,3139,Катушка  Weida DJ50A 3+1,Катушки  / Карпові катушки / Weida,690,5,40,25840
55,1209,Прикормка Fanatik AMNESIA Часник-Горох Короп Карась,Fanatik / Прикормка,185,4,180,24940
56,2788,"Вудочка Джокер Marline Prinsses 5,4м",Спінінги і вудки / Вудилища махові,260,9,100,24600
57,258,Пастка садок 8-ть,Туризм і відпочинок / Сушарки для риб і Раколовки,220,16,122,24380
58,937,Дзвіночок,Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,4,441,5798,24122
59,2173,Свінгер з підключенням на штазі з вантажем,Допоміжні снасті / Сигналізатори і Свінгера,130,20,218,23830
60,06.73,Тісто Хробак Herabunafishing,Херабуна / Тісто,70,31,358,23720
61,87,Волосінь Carp Expert Muiticolor 0.35mm 150m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,125,24,218,23620
62,2106,"Підставка під вудочку 0,100м алюм телескоп",Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,50,44,482,23160
63,86,Волосінь Carp Expert Muiticolor 0.30mm 150m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,110,48,236,22980
64,PT-CHESNOK-M,"Пінотісто Fanatik Puffi міні Часник,50мл",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,40,27,1018,22954
65,3991,Монтаж Арбуз 2г 20гр на 1 відвід пластик,Оснащення Монтаж / Готові монтажі,50,11,486,22860
66,2093,Набір Сигналізаторів SF23657,Допоміжні снасті / Сигналізатори і Свінгера,3260,1,8,22600
67,66,Прикорм Крилевая мука 500г Antarctic Kril Meal,INTERKRIL / Прикормка,285,7,110,22430
68,SF23817,Парасолька Sams Fish,"Туризм і відпочинок / Намети ,тени ,парасольки",1590,1,16,22420
69,2086,Світлячок OKEAN SUN d4.5*37 5шт,Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,12,137,1827,21368
70,00.01,Тісто Часник Herabunafishing,Херабуна / Тісто,60,46,386,21200
71,3666,Живець,Хробак Опариш,6,3,4028,21146
72,2981,"Технопанктон CORONA флуоро""Чудо планктон"" Дафнія",Прикормка / Пінотісто Макуха Планктон / Технопанктон ,50,17,444,20878
73,1693.71.04,Катушка Select Master 2500s 4+1bb 5.5:1,Катушки  / Спінінгові,755,1,30,20760
74,1693.71.00,Катушка Select Master 1500S 4+1bb 5.5:1,Катушки  / Спінінгові,680,1,34,20580
75,2116,Катушка MIFINE WHALE 4000F 60320-4,Катушки  / Карпові катушки,650,2,32,20560
76,2894,Катушка  Weida DJ20A 3+1,Катушки  / Карпові катушки / Weida,620,3,36,20240
77,3209,"Удилище WEIDA CARP Expert 3.75ib3,90м",Спінінги і вудки / Коропові вудочки,1200,4,16,19880
78,2112,Поплавець EXPERT асортимент,Оснащення Монтаж / Поплавки,30,115,670,19790
79,1208,Прикормка Fanatik AMNESIA Тигровий Горіх- Арахіс Короп Амур,Fanatik / Прикормка,185,7,146,19750
80,2167,Катушка FEIMA MG 5000,Катушки  / Карпові катушки / Feima,780,1,26,19740
81,2135,Прикормка  RealFish Лящ Шоколад1 кг,RealFish  / Прикормка,110,48,244,19350
82,GK 16-30,Грушка кольорова флуоресентна,Спінінгова ловля  / Тел-спіннер,50,74,452,18780
83,3519,"Жерлиця Щука,котушка з стопором ,оснащена (зелена)",Зима / Зимові вудки,75,63,274,18570
84,4017,Горох Риболовний сухий,Хробак Опариш,33,21,610,18438
85,2088,Підставка під вудочку  Іван.Франківськ,Допоміжні снасті / Підставки Рогачі Род-Поди / Підставка Триноги,60,22,472,18292
86,1316,Сигналізатор під світлячок,Допоміжні снасті / Сигналізатори і Свінгера,13,1,1588,18168
87,4625,Фідер Weida Focus (m1515) 60-180 3.60m,Спінінги і вудки / Фіерні вудочки,1310,1,14,18160
88,1485,Монтаж №10  вбивця карася,Оснащення Монтаж / Готові монтажі,45,46,496,18110
89,000038,Підставка для вудилищ Siechi LUX 2.4м (Herabunafishing),Херабуна / Підсаки,450,13,40,18000
90,1102,Спінінг APACHE NAVIGATOR 3.0  80-120g new,Спінінги і вудки / Коропові вудочки,645,3,30,17970
91,1285,Сушка для риб 45*45 3 полиці,Туризм і відпочинок / Сушарки для риб і Раколовки,285,9,62,17950
92,1996,Намет,"Туризм і відпочинок / Намети ,тени ,парасольки",3400,1,8,17400
93,2010067,"Крісло ""Режисер з мякою полицею "" d25mm",Допоміжні снасті / Стільці,1960,1,10,17360
94,3022734,Садок Carp Line Black 3.0m ж. кіл. прогум.ж.с різьба регулювання під кілок,Допоміжні снасті / Садки ,1070,1,18,17280
95,3164,Сигналізатор Shark,Допоміжні снасті / Сигналізатори і Свінгера,250,3,68,17000
96,2049,Пружина Арбуз  3г,Оснащення Монтаж / Готові монтажі,35,25,484,16940
97,016900,"Світлячок 4,5*38мм SMS",Допоміжні снасті / Сигналізатори і Свінгера / Механічні сигналізатори,6,146,2960,16924
98,1180,Спінінг LEGEND CARP 360 з 3 частин,Спінінги і вудки / Спінінг,950,1,18,16900
99,PT-MED-M,"Пінотісто Fanatik Puffi міні Мед,50мл",Прикормка / Пінотісто Макуха Планктон / Пінотісто ,40,25,746,16892
100,2294,Вбивця Карася,Оснащення Монтаж / Готові монтажі,35,89,482,16870
101,122700,Сумка Combo для коропової та фідерної ловлі на 2 відсіки  ПрофМонтаж,Допоміжні снасті / Сумки,2760,1,6,16560
102,2010001,"Стілець"" Рибак  Економ"" d16 мм",Допоміжні снасті / Стільці,360,4,56,16540
103,000863,"Комплект відгружених оснасток Perfect Koi з поплавками Tz-08 розмір 6,3м",Херабуна / Оснащення,550,2,30,16500
104,4710,"Вудочка  ""Осінній лист"" 5,4м",Спінінги і вудки / Вудилища махові,960,4,18,16480
105,2255,Прикормка Тигровий горіх Robin 1 кг,Прикормка / Прикормка,240,1,80,16440
106,2114,Котушка HAIBAO FISHING J3-40FR (9+1 BB) з бейтранером,Катушки  / Спінінгові,900,1,20,16380
107,2302,Монтаж Orange№26 №MF 2671(гелікоптер  під бойл 71гр.1га),Оснащення Монтаж / Orange,78,46,218,16238
108,4282,Шнур Sapfir X4 Drew 150m,Волосінь Шнури Повіці / Шнур,120,44,135,16200
109,HH-270170-GJ,"Підсак Breeze HH-270170-GJ 70см трикут. прогум. сітка ,телескоп. посил.замок",Допоміжні снасті / Підсаки,910,2,18,15860
110,308,"Фідер KAIDA IMPULSE-II(м636)60-160 3,0",Спінінги і вудки / Фіерні вудочки,715,2,24,15760
111,2050,Монтаж №7\1 Вбивця Карася 3 пружини + 3 гач відвід,Оснащення Монтаж / Готові монтажі,50,5,432,15750
112,2090,Шнур MAX POWER 4X BOYA BY 150м асортимент,Волосінь Шнури Повіці / Шнур,125,17,126,15750
113,2911,Волосінь CARP EXPERT UV FLUO YELLOW 0.28mm 1000m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,420,1,40,15670
114,2434,Монтаж Orange №5MF 550(пружина лідкор 50гр.2гач№5),Оснащення Монтаж / Orange,68,49,232,15566
115,1488,Монтаж №7 Вбивця Карася 2 пружини + 2 гач  отводи,Оснащення Монтаж / Готові монтажі,45,6,416,14960
116,3053,Поплавок #18,Оснащення Монтаж / Поплавки,18,38,824,14832
117,2615,Мормишка #25,Зима / Мармишка,25,1004,592,14800
118,3538,Катушка FEIMA LM 7000,Катушки  / Карпові катушки / Feima,1300,1,12,14760
119,3661,Лижа флуоресцентна асорт 10-30гр,Спінінгова ловля  / Тел-спіннер,75,47,196,14700
120,2776,Катушка FEIMA LK 500,Катушки  / Карпові катушки / Feima,420,2,38,14560
121,2224,"Спінінг Carp Junior 100-300g 3,6м Feima",Спінінги і вудки / Коропові вудочки,660,5,16,14480
122,MF 4150,Монтаж Orange№41 №MF 4150(метод Флет під бойл 50гр.1гач№41),Оснащення Монтаж / Orange,70,29,204,14236
123,4254,Монтаж на толстолоба Silver carp Мерседес,Оснащення Монтаж / Готові монтажі,225,8,70,14050
124,410,Свінгер штанга з підключенням,Допоміжні снасті / Сигналізатори і Свінгера,95,1,154,14050
125,2096-360,Фідер IDOL AFEIMA 40-120G ART2096-360,Спінінги і вудки / Фіерні вудочки,1400,3,10,14000
126,2110043,"Стілець"" Рибак  Економ зі спинкою"" d16 мм",Допоміжні снасті / Стільці,485,3,34,13990
127,1858.41.88,"Вудилище Brain Apex карпове 3,90 4,0 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1780,3,8,13920
128,2080,Катушка FEIMA LE 3000,Катушки  / Карпові катушки / Feima,520,1,26,13880
129,2983,Волосінь CARP EXPERT UV FLUO ORANG 0.35mm 300м,Волосінь Шнури Повіці / Ліска / CARP EXPERT,220,9,66,13800
130,HY-D-370170-GJ,"Підсак Breeze 70см прогум. сітка круп ,телескоп 1,7м пятикут.",Допоміжні снасті / Підсаки,950,1,15,13790
131,2205,Пелетс Art Fishing методний 3мм  500гр,Прикормка / Пеллетси,40,38,369,13616
132,3670,Балансир Accurat#2,Зима / Балансир,85,28,158,13430
133,MF 440,Монтаж Orange№4 №MF 440(пружина пі бойл 40гр.2гач№4),Оснащення Монтаж / Orange,70,24,206,13406
134,1858.44.53,"Вудилище Brain Classic Carp 3,60 3.5 Lbs 3-sec",Спінінги і вудки / Коропові вудочки,1500,1,10,13240
135,2045,Монтаж Арбуз чорний відвід+3 гач,Оснащення Монтаж / Готові монтажі,35,13,388,13230
136,307,"Фідер KAIDA IMPULSE-II(м636)60-160 2,7",Спінінги і вудки / Фіерні вудочки,645,4,22,13150
137,2172,ELIT вбивця карася,Оснащення Монтаж / Готові монтажі,25,12,526,13150
138,3213,Монтаж на толстолоба Silver carp +технопанктон,Оснащення Монтаж / Готові монтажі,190,3,74,13040
139,8203-390,Вудочка  FEIMA Obsidian Carp 3.9m 3.5lb,Спінінги і вудки / Коропові вудочки,1300,1,10,13000
140,05.65,Оснастка фірмова Premium 5.4 #2.5,Херабуна / Оснащення,100,9,130,13000
141,1416,Шнур MASTER PE*4 150M SELECT BOYA BY,Волосінь Шнури Повіці / Шнур,100,13,129,12900
142,3099,Монтаж на Сома 1гач,Оснащення Монтаж / Готові монтажі,260,13,54,12900
143,279,Катушка WEIDA XC4000 бейтр,Катушки  / Карпові катушки / Weida,735,5,18,12830
144,89,Волосінь CARP EXPERT BOILIE SPECIAL 0.30mm 1000m,Волосінь Шнури Повіці / Ліска / CARP EXPERT,445,2,30,12660
145,1850,Катушка  Ryobi Amazon 2000Vi,Катушки  / Спінінгові,1700,2,8,12600
146,2433,Монтаж Orange №5MF 540(пружина лідкор 40гр.2гач№5),Оснащення Монтаж / Orange,68,28,194,12514
147,MF3000,Катушка Flagman Magnum Feeder 3000 (шт.),Катушки  / Фідерні катушки,450,3,32,12480
148,4176,Крона Videx 9v,Аксесуари  / Батарейки,33,171,378,12474
149,MF 36,Монтаж Orange№36 №MF 36( Толстолоб на лідкоре.2гач№36),Оснащення Монтаж / Orange,100,3,132,12440
150,3022735,Садок Carp Line Black 3.5m ж. кіл. прогум.ж.с різьба регулювання під кілок,Допоміжні снасті / Садки ,1180,2,12,12420
